initial_depth,harm_mag,recovery_time,residual_error,integrity_min
0.1,0.5,0,5.306415431505229e-07,0.7
0.1,0.5,0,5.306415431505229e-07,0.7
0.1,0.5,0,5.306415431505229e-07,0.7
0.1,0.5,0,5.306415431505229e-07,0.7
0.1,0.7,206,5.35837948846188e-05,0.7000523605783517
0.1,0.7,206,5.35837948846188e-05,0.7000523605783517
0.1,0.7,206,5.35837948846188e-05,0.7000523605783517
0.1,0.7,206,5.35837948846188e-05,0.7000523605783517
0.1,0.7,206,5.35837948846188e-05,0.7000523605783517
0.1,0.9,221,7.151599028555223e-05,0.7000677021205236
0.1,0.9,221,7.151599028555223e-05,0.7000677021205236
0.1,0.9,221,7.151599028555223e-05,0.7000677021205236
0.1,0.9,221,7.151599028555223e-05,0.7000677021205236
0.1,0.9,221,7.151599028555223e-05,0.7000677021205236
0.15,0.1,0,7.187827422150406e-08,0.7
0.15,0.1,0,7.187827422150406e-08,0.7
0.15,0.1,0,7.187827422150406e-08,0.7
0.15,0.1,0,7.187827422150406e-08,0.7
0.15,0.1,0,7.187827422150406e-08,0.7
0.15,0.3,0,2.1765122948380622e-07,0.7
0.15,0.3,0,2.1765122948380622e-07,0.7
0.15,0.3,0,2.1765122948380622e-07,0.7
0.15,0.3,0,2.1765122948380622e-07,0.7
0.15,0.3,0,2.1765122948380622e-07,0.7
0.15,0.5,0,3.656873794888327e-07,0.7
0.15,0.5,0,3.656873794888327e-07,0.7
0.15,0.5,0,3.656873794888327e-07,0.7
0.15,0.5,0,3.656873794888327e-07,0.7
0.15,0.5,0,3.656873794888327e-07,0.7
0.15,0.7,0,5.1547036528099e-07,0.7
0.15,0.7,0,5.1547036528099e-07,0.7
0.15,0.7,0,5.1547036528099e-07,0.7
0.15,0.7,0,5.1547036528099e-07,0.7
0.15,0.7,0,5.1547036528099e-07,0.7
0.15,0.9,205,5.2552084439229806e-05,0.7000466539470804
0.15,0.9,205,5.2552084439229806e-05,0.7000466539470804
0.15,0.9,205,5.2552084439229806e-05,0.7000466539470804
0.15,0.9,205,5.2552084439229806e-05,0.7000466539470804
0.15,0.9,205,5.2552084439229806e-05,0.7000466539470804
0.2,0.1,0,5.4893602330352564e-08,0.7
0.2,0.1,0,5.4893602330352564e-08,0.7
0.2,0.1,0,5.4893602330352564e-08,0.7
0.2,0.1,0,5.4893602330352564e-08,0.7
0.2,0.1,0,5.4893602330352564e-08,0.7
0.2,0.3,0,1.662162096849329e-07,0.7
0.2,0.3,0,1.662162096849329e-07,0.7
0.2,0.3,0,1.662162096849329e-07,0.7
0.2,0.3,0,1.662162096849329e-07,0.7
0.2,0.3,0,1.662162096849329e-07,0.7
0.2,0.5,0,2.792612177060505e-07,0.7
0.2,0.5,0,2.792612177060505e-07,0.7
0.2,0.5,0,2.792612177060505e-07,0.7
