coupling,willpower_diff,sync_index,convergence_time,energy_transfer
0.0,0.0,0.7355084960279755,300,0.79017658891114
0.0,0.1,0.7354477872439577,300,0.7964265889111399
0.0,0.2,0.7351592846201774,300,0.8026765889111399
0.0,0.3,0.7346442227838237,300,0.80892658891114
0.0,0.4,0.733904458150065,300,0.8151765889111399
0.0,0.5,0.7329424540594371,300,0.82142658891114
0.1,0.0,0.8589785690112441,300,0.23256974264322694
0.1,0.1,0.8590224628933794,300,0.23287624823117248
0.1,0.2,0.8590876955838803,300,0.23318275381911802
0.1,0.3,0.8591742077283041,300,0.23348925940706355
0.1,0.4,0.8592819207489387,300,0.2337957649950091
0.1,0.5,0.859410737023073,300,0.23410227058295463
0.2,0.0,0.8600287238449842,300,0.19807226282616208
0.2,0.1,0.8600701844333278,300,0.1980868409865868
0.2,0.2,0.8601316486275937,300,0.19810141914701146
0.2,0.3,0.8602130633779659,300,0.19811599730743618
0.2,0.4,0.8603143585248559,300,0.1981305754678609
0.2,0.5,0.8604354469507328,300,0.19814515362828555
0.3,0.0,0.8600521823575857,300,0.19642895771929872
0.3,0.1,0.8600935162141868,300,0.1964296297673053
0.3,0.2,0.8601547603538302,300,0.19643030181531182
0.3,0.3,0.860235862153404,300,0.1964309738633184
0.3,0.4,0.8603367520355674,300,0.19643164591132498
0.3,0.5,0.860457343618653,300,0.1964323179593315
0.4,0.0,0.8600532069986979,300,0.19635308704260698
0.4,0.1,0.8600945349807039,300,0.1963531170514968
0.4,0.2,0.8601557688719581,300,0.19635314706038662
0.4,0.3,0.8602368560693295,300,0.1963531770692765
0.4,0.4,0.8603377270227621,300,0.1963532070781663
0.4,0.5,0.860458295385086,300,0.19635323708705613
0.5,0.0,0.8600532526999117,300,0.1963496941253319
0.5,0.1,0.8600945804191592,300,0.19634969542239647
0.5,0.2,0.8601558138519254,300,0.19634969671946104
0.5,0.3,0.860236900395974,300,0.19634969801652566
0.5,0.4,0.8603377705024695,300,0.19634969931359023
0.5,0.5,0.8604583378257857,300,0.19634970061065485
0.6,0.0,0.8600532546779256,300,0.19634954725774661
0.6,0.1,0.8600945823857986,300,0.19634954731197618
0.6,0.2,0.8601558157987185,300,0.19634954736620575
0.6,0.3,0.8602369023144865,300,0.1963495474204353
0.6,0.4,0.8603377723843199,300,0.19634954747466488
0.6,0.5,0.8604583396626599,300,0.19634954752889444
0.7,0.0,0.8600532547607451,300,0.19634954110834843
0.7,0.1,0.8600945824681421,300,0.19634954111054
0.7,0.2,0.8601558158802306,300,0.19634954111273165
0.7,0.3,0.8602369023948143,300,0.19634954111492328
0.7,0.4,0.8603377724631133,300,0.19634954111711486
0.7,0.5,0.86045833973957,300,0.1963495411193065
