population,cluster_count,modularity,intra_sim,inter_sim
10,2,0.20318926693815326,0.7391182377741177,0.7293224166847315
20,2,0.35554173717630017,0.7653876991053467,0.7340970545601591
50,2,0.442030377284332,0.7619100075453415,0.7350907949199724
100,2,0.4155684334931001,0.7697431346580124,0.7350544702979251
