flux,trial,initial_dist,converge_time,path_efficiency,final_error
0.1,0,6.531895499923099,500,1.0031081437526048,0.13201637522339102
0.1,1,4.314193779887026,143,1.0003851576784653,0.01593312107130731
0.1,2,5.409601968188214,500,1.0045369876516976,0.12581982711217707
0.1,3,5.192793287581031,500,1.0073500358062217,0.12962060699594483
0.1,4,5.683207640405844,138,0.9995363926405814,7.755130968793213e-09
0.1,5,4.316938148138293,131,0.9998157106333373,5.894852510060218e-09
0.1,6,5.675727315779445,500,1.0022454891098544,0.12644310615255663
0.1,7,6.14296969464996,500,1.0049251497686813,0.13571879763219646
0.1,8,5.75293067201975,500,1.0012211839380878,0.02426916201676083
0.1,9,4.843558334754308,134,1.0000000013665225,6.618827816759593e-09
0.1,10,5.173520829457746,136,0.9999634580937748,7.0655658989876575e-09
0.1,11,4.423802273690946,500,1.0034102441569752,0.058539276861595796
0.1,12,4.871337756876287,500,1.0017854205617254,0.04893668685001944
0.1,13,4.470509797782816,132,1.0000000013665222,6.109048515591252e-09
0.1,14,5.8161347933117,500,1.0019762956354707,0.07354560653567382
0.1,15,5.770479129474747,138,1.0000000013665222,7.885485082117516e-09
0.1,16,5.044939283036013,137,1.0000351835539245,0.0074231154650084815
0.1,17,3.987255673841752,135,1.0001625876162714,0.0124280828644124
0.1,18,4.783694643581689,134,0.9991470433776064,6.528815517083754e-09
0.1,19,6.533801244872596,500,1.0045188566286347,0.11260057010148854
0.3,0,4.261139743954713,500,1.0071708310696017,0.11924059697596556
0.3,1,4.191991946716419,66,1.0010482178586404,0.014391206128921752
0.3,2,4.454433859537836,500,1.0058524138912717,0.11364371481099855
0.3,3,5.423209357714423,500,1.007347187455558,0.1170766772866596
0.3,4,4.333576429515072,64,1.000000000000002,7.27619706984544e-15
0.3,5,6.071232533143776,68,1.0000000000000009,5.899610661303517e-15
0.3,6,4.509241212727052,500,1.0059908275245346,0.11420667652489014
0.3,7,6.257331820698546,500,1.0050375197460784,0.12258472044198407
0.3,8,4.527050665364313,500,1.0018037561246693,0.021920533434493183
0.3,9,4.213802431123212,64,1.0000000000000007,6.052752247871356e-15
0.3,10,6.085965770574114,68,1.0000000000000016,7.002330729131802e-15
0.3,11,5.018199122464707,500,1.0002603694425352,0.05287418555240819
0.3,12,5.383434020403297,500,1.0007943912239297,0.04420087844517827
0.3,13,4.264077942663582,64,1.0000000000000007,7.484747839595928e-15
0.3,14,5.830964608829788,500,1.002355776962981,0.06642828977415682
0.3,15,5.505040567955277,67,1.0000000000000002,5.96970750463885e-15
0.3,16,5.880482855936333,68,1.0002942551966636,0.006704749452263403
0.3,17,4.834627645725614,68,1.000080020025448,0.01122536516785555
0.3,18,4.454600588980559,64,1.0,7.065538726485554e-15
0.3,19,5.064126296136536,500,1.0021746591261198,0.10170374073682753
0.5,0,3.006532337249395,500,1.0000981216248979,0.10871936783102631
0.5,1,5.128908899810936,45,1.0000400829651028,0.013121393823428473
0.5,2,4.910055332812529,500,1.0012840015591848,0.10361632821002686
0.5,3,4.249403074813259,500,0.99936733568039,0.10674638223195387
0.5,4,4.2308750520743255,41,1.000000000000002,4.850798046563627e-15
0.5,5,4.7493660354230505,42,1.000000000000001,3.933073774202345e-15
0.5,6,4.999973834298619,500,1.0047945616057388,0.10412961683151684
0.5,7,6.136895421585469,500,1.0034783332741746,0.11176842157945611
0.5,8,6.244642535713965,70,1.0007922859730025,0.019986368719684844
0.5,9,5.270847092964662,43,1.0,4.0351681652475706e-15
0.5,10,4.784650578905236,42,1.0000000000000004,4.668220486087868e-15
0.5,11,5.013319028307294,500,1.0037027424550955,0.04820881623896067
0.5,12,6.021942818426455,500,1.001599091890955,0.04030080093530998
0.5,13,5.361678214443762,43,1.0000000000000016,4.989831893063952e-15
0.5,14,5.519005824745542,500,1.0000993547177042,0.060566970088201444
0.5,15,4.757601387394533,42,0.9999999999999998,3.979805003092567e-15
0.5,16,5.405613219247099,43,1.0003052590480979,0.006113153912358005
0.5,17,4.821622674584707,44,1.0000946366214354,0.01023489177069159
0.5,18,4.733411743807545,42,1.0000000000000007,4.7103591509903695e-15
0.5,19,3.360057049271648,500,1.0007277285487617,0.09272988126004922
0.7,0,3.8475203741220225,500,1.003249960314193,0.09990428395283546
0.7,1,5.269001129612685,32,1.0008387173945552,0.012057497026934705
0.7,2,5.764635679015561,500,1.0040245376160544,0.09521500430110619
0.7,3,5.4606574074135965,500,1.0059821768942456,0.09809127015909347
0.7,4,4.791825328545505,31,1.0000000000000002,3.63809853492272e-15
0.7,5,4.536178003985647,31,1.0000000000000018,2.9498053306517586e-15
0.7,6,5.750006189815788,500,1.0039893419672297,0.09568667492625922
0.7,7,5.963441890615458,500,1.0005199314123645,0.10270611712706756
0.7,8,5.615450790444465,37,1.000865259539702,0.018365852337007826
0.7,9,5.007433014021881,31,1.0,3.026376123935678e-15
0.7,10,4.283638362942326,30,0.9999999999999998,3.501165364565901e-15
0.7,11,5.17059425365507,500,1.003053256600777,0.04429999330066625
0.7,12,6.278090986158531,500,1.0008438736721046,0.03703316842704147
0.7,13,4.560146201963772,31,1.0,3.742373919797964e-15
0.7,14,5.569408196382715,500,1.0011626995094216,0.055656134675644786
0.7,15,4.711551347670459,31,0.9999999999999992,2.984853752319425e-15
0.7,16,4.91808227843881,31,1.0001287823871052,0.005617492784328437
0.7,17,5.147448284455338,32,1.0005955595191118,0.009405035681176344
0.7,18,5.323437750002225,32,0.9999999999999997,3.532769363242777e-15
0.7,19,5.6187306553412775,500,1.0050335380954434,0.08521124223896415
0.9,0,2.7098026455115076,500,1.003788784850114,0.09241146265637301
0.9,1,3.6646350301258246,23,1.0007996283050082,0.011153184749914224
0.9,2,4.632398044286426,500,1.0080327965680254,0.08807387897852337
0.9,3,4.2544724669619285,500,1.0042656936213676,0.09073442489716133
0.9,4,4.729048956943454,24,1.0000000000000009,2.4253990232818133e-15
