awareness,resistance,effect_mag,energy_cost,efficiency
0.1,0.1,0.22440123429344272,0.14960082286229492,1.5000000000000022
0.1,0.1,0.2658906383370998,0.1772604255580672,1.4999999999999944
0.1,0.1,0.26074222628990706,0.17382815085993808,1.4999999999999998
0.1,0.1,0.2784197316093151,0.18561315440621,1.5000000000000004
0.1,0.1,0.24827431347305362,0.1655162089820355,1.5000000000000022
0.1,0.1,0.25025818483109497,0.16683878988739675,1.4999999999999991
0.1,0.1,0.25728573758247064,0.1715238250549797,1.5000000000000062
0.1,0.1,0.24009249292692947,0.1600616619512859,1.5000000000000038
0.1,0.1,0.21760297126937878,0.14506864751291976,1.499999999999994
0.1,0.1,0.21860763125711724,0.1457384208380788,1.4999999999999933
0.1,0.3,0.19022320760726097,0.1630484636633675,1.1666666666666599
0.1,0.3,0.19326052014403183,0.16565187440916984,1.1666666666666687
0.1,0.3,0.15732489592891485,0.13484991079621345,1.1666666666666605
0.1,0.3,0.15110937108727973,0.12952231807481113,1.1666666666666674
0.1,0.3,0.17958615182730608,0.15393098728054805,1.1666666666666667
0.1,0.3,0.18854268390732032,0.1616080147777036,1.1666666666666634
0.1,0.3,0.12751407166779627,0.10929777571525351,1.1666666666666714
0.1,0.3,0.21970705842216542,0.18832033579042678,1.1666666666666712
0.1,0.3,0.14627374829389916,0.1253774985376277,1.166666666666668
0.1,0.3,0.2013199417167557,0.1725599500429329,1.1666666666666705
0.1,0.5,0.14974435781834727,0.1796932293820157,0.833333333333338
0.1,0.5,0.10599749970251304,0.12719699964301562,0.8333333333333336
0.1,0.5,0.11032029390876508,0.1323843526905194,0.833333333333325
0.1,0.5,0.12338726482476536,0.14806471778971814,0.833333333333335
0.1,0.5,0.1246419606083422,0.1495703527300118,0.8333333333333269
0.1,0.5,0.13612492664079912,0.16334991196896081,0.8333333333333237
0.1,0.5,0.12374506319053524,0.14849407582864288,0.83333333333333
0.1,0.5,0.1535629390236708,0.18427552682840537,0.8333333333333315
0.1,0.5,0.11718659283334576,0.14062391140001473,0.8333333333333344
0.1,0.5,0.13598691047390576,0.16318429256868666,0.8333333333333346
0.3,0.1,0.6512824490500115,0.43418829936667525,1.499999999999997
