amplitude,resistance,settling_time,overshoot,final_drift
0.1,0.1,0,0.8658071653342558,0.6887595298728817
0.2,0.1,0,1.5035519428588882,1.057719436528231
0.3,0.1,0,1.5232900016027395,0.87964908602773
0.4,0.1,0,1.5526827111428172,0.7624833115490963
0.5,0.1,0,1.5512793072297972,0.5903560326211141
0.6,0.1,0,1.5498759033167773,0.41296236317739865
0.7,0.1,0,1.5484724994037575,0.23512531301495465
0.8,0.1,0,1.5470690954907376,0.057288262852509986
0.9,0.1,0,1.5456656915777178,0.12054878730993401
1.0,0.1,0,1.5442622876646979,0.2983858374723789
0.1,0.5,0,0.9038646231511458,0.7190346740431206
0.2,0.5,0,1.5231466063466033,1.0431984822538318
0.3,0.5,0,1.526950631390421,0.8578987731257866
0.4,0.5,0,1.55517765143263,0.7343017890671799
0.5,0.5,0,1.5543979825920635,0.5536420999978509
0.6,0.5,0,1.553618313751497,0.36837358716700686
0.7,0.5,0,1.5528386449109304,0.18310507433616396
0.8,0.5,0,1.5520589760703638,0.0021634384946793705
0.9,0.5,0,1.5512793072297972,0.1874319513255227
1.0,0.5,0,1.5504996383892307,0.37270046415636604
0.1,0.9,0,0.9419220809680371,0.7493098182133555
0.2,0.9,0,1.5306447407465855,1.028443101581869
0.3,0.9,0,1.5306112611781035,0.8357863070735259
0.4,0.9,0,1.5576725917224432,0.706120266585264
0.5,0.9,0,1.55751665795433,0.5164847866558575
0.6,0.9,0,1.5573607241862166,0.3237848111566146
0.7,0.9,0,1.5572047904181032,0.1310848356573735
0.8,0.9,0,1.55704885664999,0.06161513984186917
0.9,0.9,0,1.5568929228818766,0.2543151153411105
1.0,0.9,0,1.5567369891137635,0.44701509084035274
